DS1921:  8034C000003E6421
Download at: 7/27/2004 3:44:36 PM

Mission State
-------------
Mission is in progress
Sample rate: 10 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  07/18/2004  15:07 
Mission Start delay: 0 minute(s)
Mission Samples: 1300
Device total samples: 64429
Temperatures displayed in: (Celsius)
High Threshold: 85.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Tuesday  07/27/2004  15:44:58 
Current PC Time: Tuesday  07/27/2004  15:46:03 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)


Format: [Time/Date , Temperature] (Celsius)
 07/22/2004  03:37 , 48.5°C
 07/22/2004  03:47 , 48.5°C
 07/22/2004  03:57 , 48.0°C
 07/22/2004  04:07 , 48.0°C
 07/22/2004  04:17 , 48.0°C
 07/22/2004  04:27 , 48.0°C
 07/22/2004  04:37 , 48.0°C
 07/22/2004  04:47 , 48.0°C
 07/22/2004  04:57 , 48.0°C
 07/22/2004  05:07 , 48.0°C
 07/22/2004  05:17 , 48.0°C
 07/22/2004  05:27 , 48.0°C
 07/22/2004  05:37 , 48.5°C
 07/22/2004  05:47 , 48.0°C
 07/22/2004  05:57 , 48.0°C
 07/22/2004  06:07 , 48.0°C
 07/22/2004  06:17 , 48.5°C
 07/22/2004  06:27 , 48.0°C
 07/22/2004  06:37 , 48.0°C
 07/22/2004  06:47 , 48.0°C
 07/22/2004  06:57 , 47.5°C
 07/22/2004  07:07 , 47.5°C
 07/22/2004  07:17 , 48.5°C
 07/22/2004  07:27 , 48.0°C
 07/22/2004  07:37 , 47.5°C
 07/22/2004  07:47 , 48.0°C
 07/22/2004  07:57 , 48.0°C
 07/22/2004  08:07 , 48.0°C
 07/22/2004  08:17 , 48.0°C
 07/22/2004  08:27 , 48.0°C
 07/22/2004  08:37 , 48.0°C
 07/22/2004  08:47 , 48.0°C
 07/22/2004  08:57 , 48.0°C
 07/22/2004  09:07 , 48.0°C
 07/22/2004  09:17 , 48.0°C
 07/22/2004  09:27 , 48.0°C
 07/22/2004  09:37 , 48.0°C
 07/22/2004  09:47 , 49.0°C
 07/22/2004  09:57 , 48.5°C
 07/22/2004  10:07 , 49.0°C
 07/22/2004  10:17 , 49.0°C
 07/22/2004  10:27 , 49.0°C
 07/22/2004  10:37 , 49.0°C
 07/22/2004  10:47 , 49.5°C
 07/22/2004  10:57 , 49.5°C
 07/22/2004  11:07 , 38.5°C
 07/22/2004  11:17 , 46.5°C
 07/22/2004  11:27 , 48.0°C
 07/22/2004  11:37 , 48.0°C
 07/22/2004  11:47 , 47.5°C
 07/22/2004  11:57 , 47.5°C
