Plate,Name,Row,Column,Micro g N,Delta Air,Micro g C,Delta PDB
2007-drg,CHECK,Z,32,95.8,1.32,354.5,-24.47
2007-drg,CHECK,Z,32,98.4,1.34,353.7,-24.42
2007-drg,A1,A,1,91.8,11.92,339.3,-16.78
2007-drg,A2,A,2,37.9,11.71,145.9,-16.70
2007-drg,A3,A,3,93.8,11.48,353.9,-16.68
2007-drg,A4,A,4,119.9,11.50,440.3,-16.25
2007-drg,A5,A,5,143.9,12.19,512.5,-16.08
2007-drg,A6,A,6,63.8,12.83,374.9,-16.95
2007-drg,A7,A,7,96.2,8.60,340.9,-17.46
2007-drg,A8,A,8,73.0,13.36,436.1,-20.71
2007-drg,A9,A,9,60.4,13.63,345.6,-20.36
2007-drg,A10,A,10,70.8,12.94,350.6,-19.03
2007-drg,A11,A,11,88.9,11.98,408.5,-18.60
2007-drg,A12,A,12,88.8,11.79,399.0,-18.98
2007-drg,B1,B,1,68.8,9.43,336.0,-17.52
2007-drg,B2,B,2,87.9,9.51,394.1,-18.60
2007-drg,CHECK,Z,33,104.5,1.36,354.8,-24.44
2007-drg,CHECK,Z,33,99.1,1.04,375.1,-24.47
