x Vial present ( - put aside),Combined with other samples, Foil ID , Site , Date Collected , Species , Individ , Height/ Length/ Carapace width , Width/ Dactyl length , Aperture diameter , Wet weight w/ Shell , Shell weight , Tissue w/ operc weight/ Plates w/ mantle , Operculum/ Mantle weight , Wet sample weight , Oven Start Date & Time  , Time spent in Freezer (days) , Oven End Date & Time , Time spent in Oven (days) , Notes 
x,,118,Tauranga Head,7/2/2004,Cellana ornata,2,20.8,15.1,*,0.946,0.379,*,*,0.208,7/18/2004 17:35,16.7,7/27/2004 14:25,8.9
x,,123,Tauranga Head,7/2/2004,Cellana ornata,3,19.6,14.1,*,0.902,0.440,*,*,0.178,7/18/2004 17:40,16.7,7/27/2004 14:25,8.9
x,,121,Tauranga Head,7/2/2004,Cellana ornata,4,19.7,15.5,*,0.870,0.479,*,*,0.154,7/18/2004 17:45,16.7,7/27/2004 14:18,8.9
x,,114,Tauranga Head,7/2/2004,Cellana ornata,5,20.5,14.7,*,0.770,0.342,*,*,0.252,7/18/2004 17:51,16.7,7/27/2004 14:25,8.9
x,,109,Tauranga Head,7/2/2004,Cellana radians,1,18.3,14.4,*,0.467,0.280,*,*,0.070,7/18/2004 16:56,16.7,7/27/2004 14:25,8.9
x,,104,Tauranga Head,7/2/2004,Cellana radians,2,21.8,18.0,*,0.890,0.451,*,*,0.180,7/18/2004 17:04,16.7,7/27/2004 14:18,8.9
x,,102,Tauranga Head,7/2/2004,Cellana radians,3,18.1,14.5,*,0.594,0.296,*,*,0.121,7/18/2004 17:10,16.7,7/27/2004 14:18,8.9
x,,97,Tauranga Head,7/2/2004,Cellana radians,4,19.1,14.7,*,0.466,0.262,*,*,0.087,7/18/2004 17:16,16.7,7/27/2004 14:25,8.9
x,,50,Tauranga Head,7/2/2004,Cellana radians,5,18.2,13.5,*,0.429,0.237,*,*,0.108,7/20/2004 15:20,18.6,7/27/2004 14:06,6.9,
x,,22,Tauranga Head,7/2/2004,Chamaesipho brunnea,1,6.5,10.2,5.8,0.503,0.399,*,*,0.061,7/21/2004 10:38,19.4,7/27/2004 13:40,6.1,
x,,23,Tauranga Head,7/2/2004,Chamaesipho brunnea,2,7.4,8.9,5.1,0.359,0.326,*,*,0.034,7/21/2004 10:41,19.4,7/27/2004 13:55,6.1,
x,,26,Tauranga Head,7/2/2004,Chamaesipho brunnea,3,4.9,12.4,5.0,0.330,0.277,*,*,0.031,7/21/2004 10:44,19.4,7/27/2004 13:40,6.1,
x,,30,Tauranga Head,7/2/2004,Chamaesipho brunnea,4,4.2,13.5,6.4,0.445,0.370,*,*,0.052,7/21/2004 10:47,19.4,7/27/2004 14:47,6.2,
x,,9,Tauranga Head,7/2/2004,Chamaesipho brunnea,5,6.2,16.1,7.6,0.659,0.561,*,*,0.070,7/21/2004 10:50,19.5,7/27/2004 13:55,6.1,
-,,10,Tauranga Head,7/2/2004,Chamaesipho brunnea,6,6.3,13.8,7.3,0.466,0.378,*,*,0.057,7/21/2004 10:53,19.5,7/27/2004 13:40,6.1,
-,,1497,Tauranga Head,7/24/2005,Chamaesipho brunnea,7,15.1,4.9,7.1,0.626,0.458,*,*,*,8/9/2005 16:35,,8/16/2005 13:00,,
