Predators.SpeciesName,PredSize,PreySize,IndexSpecies.SpeciesName,Site,FocusSite
Haustrum haustorium,35,15,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,37,16,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,33,9,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,30,16,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,35,10,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,26,12,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,33,9,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,30,4,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,30,13,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,42,14,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,42,22,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,35,16,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,37,14,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,43,17,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,32,12,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,33,18,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,30,14,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,31,11,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,41,21,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,29,11,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,39,21,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,33,11,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,32,12,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,36,16,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,47,21,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,36,24,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,43,18,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,38,16,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,41,18,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,38,17,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,43,25,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,41,14,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,41,19,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,44,21,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,37,17,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,30,9,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,30,7,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,29,15,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,41,15,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,33,14,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,26,16,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,21,10,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,27,15,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,42,18,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,30,9,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,26,16,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,30,22,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,37,17,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,22,9,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,42,14,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,28,14,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,33,16,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,38,18,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,35,15,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,32,14,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,31,14,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,28,10,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,30,14,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,34,16,Cellana ornata,PaiaPoint,TRUE
Haustrum haustorium,41,14,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,27,4,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,36,18,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,34,15,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,46,16,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,40,17,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,33,17,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,30,16,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,38,17,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,41,18,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,33,17,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,32,17,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,43,15,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,46,16,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,33,17,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,33,16,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,30,9,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,41,19,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,35,14,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,41,17,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,31,16,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,32,10,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,27,16,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,44,17,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,33,18,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,37,14,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,35,17,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,39,10,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,51,21,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,51,17,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,38,18,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,30,13,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,48,18,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,41,19,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,32,17,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,36,16,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,32,11,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,27,13,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,39,16,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,31,15,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,30,13,Cellana ornata,Rakautara,TRUE
Haustrum haustorium,30,13,Cellana ornata,TaurangaHead,TRUE
Haustrum haustorium,29,13,Cellana ornata,TaurangaHead,TRUE
Haustrum haustorium,37,12,Cellana ornata,TaurangaHead,TRUE
Haustrum haustorium,27,12,Cellana ornata,TaurangaHead,TRUE
Haustrum haustorium,31,14,Cellana radians,CapeFoulwind,TRUE
Haustrum haustorium,41,18,Cellana radians,CapeFoulwind,TRUE
Haustrum haustorium,40,18,Cellana radians,CapeFoulwind,TRUE
Haustrum haustorium,37,22,Cellana radians,JacksonHead,TRUE
Haustrum haustorium,40,25,Cellana radians,JacksonHead,TRUE
Haustrum haustorium,29,23,Cellana radians,OkahuPoint,TRUE
Haustrum haustorium,30,17,Cellana radians,OkahuPoint,TRUE
Haustrum haustorium,18,8,Cellana radians,OkahuPoint,TRUE
Haustrum haustorium,38,7,Cellana radians,OkahuPoint,TRUE
Haustrum haustorium,30,16,Cellana radians,PaiaPoint,TRUE
Haustrum haustorium,30,14,Cellana radians,PaiaPoint,TRUE
Haustrum haustorium,40,14,Cellana radians,PaiaPoint,TRUE
Haustrum haustorium,37,13,Cellana radians,Rakautara,TRUE
Haustrum haustorium,40,13,Cellana radians,Rakautara,TRUE
Haustrum haustorium,33,19,Cellana radians,Rakautara,TRUE
Haustrum haustorium,35,12,Cellana radians,Rakautara,TRUE
Haustrum haustorium,30,6,Cellana radians,Rakautara,TRUE
Haustrum haustorium,43,24,Cellana radians,TaurangaHead,TRUE
Haustrum haustorium,14,1,Chamaesipho brunnea,PaiaPoint,TRUE
Haustrum haustorium,14,2,Chamaesipho brunnea,PaiaPoint,TRUE
Haustrum haustorium,13,1,Chamaesipho brunnea,PaiaPoint,TRUE
Haustrum haustorium,15,1,Chamaesipho brunnea,PaiaPoint,TRUE
Haustrum haustorium,15,1,Chamaesipho brunnea,PaiaPoint,TRUE
