Site,SpeciesName,PredSize
BlueDuck,Haustrum scobina,14
BlueDuck,Haustrum scobina,11
BlueDuck,Haustrum scobina,12
BlueDuck,Haustrum scobina,12
BlueDuck,Haustrum scobina,10
BlueDuck,Haustrum scobina,10
BlueDuck,Haustrum scobina,10
BlueDuck,Haustrum scobina,10
BlueDuck,Haustrum scobina,12
BlueDuck,Haustrum scobina,18
BlueDuck,Haustrum scobina,18
BlueDuck,Haustrum scobina,17
BlueDuck,Haustrum scobina,18
BlueDuck,Haustrum scobina,20
BlueDuck,Haustrum scobina,5
BlueDuck,Haustrum scobina,17
BlueDuck,Haustrum scobina,17
BlueDuck,Haustrum scobina,19
BlueDuck,Haustrum scobina,13
BlueDuck,Haustrum scobina,12
BlueDuck,Haustrum scobina,17
BlueDuck,Haustrum scobina,15
BlueDuck,Haustrum scobina,11
BlueDuck,Haustrum scobina,20
BlueDuck,Haustrum scobina,18
BlueDuck,Haustrum scobina,17
BlueDuck,Haustrum scobina,13
BlueDuck,Haustrum scobina,10
BlueDuck,Haustrum scobina,15
BlueDuck,Haustrum scobina,17
BlueDuck,Haustrum scobina,18
BlueDuck,Haustrum scobina,17
BlueDuck,Haustrum scobina,18
BlueDuck,Haustrum scobina,13
BlueDuck,Haustrum scobina,15
BlueDuck,Haustrum scobina,19
BlueDuck,Haustrum scobina,18
BlueDuck,Haustrum scobina,12
BlueDuck,Haustrum scobina,10
BlueDuck,Haustrum scobina,13
BlueDuck,Haustrum scobina,18
BlueDuck,Haustrum scobina,17
BlueDuck,Haustrum scobina,14
BlueDuck,Haustrum scobina,18
BlueDuck,Haustrum scobina,13
LimestoneBayPoint,Haustrum haustorium,34
LimestoneBayPoint,Haustrum haustorium,26
LimestoneBayPoint,Haustrum haustorium,34
LimestoneBayPoint,Haustrum haustorium,19
LimestoneBayPoint,Haustrum haustorium,31
LimestoneBayPoint,Haustrum haustorium,32
LimestoneBayPoint,Haustrum haustorium,34
LimestoneBayPoint,Haustrum haustorium,30
LimestoneBayPoint,Haustrum haustorium,29
LimestoneBayPoint,Haustrum haustorium,27
LimestoneBayPoint,Haustrum haustorium,25
LimestoneBayPoint,Haustrum haustorium,27
LimestoneBayPoint,Haustrum haustorium,28
LimestoneBayPoint,Haustrum haustorium,31
LimestoneBayPoint,Haustrum haustorium,34
LimestoneBayPoint,Haustrum haustorium,29
LimestoneBayPoint,Haustrum haustorium,28
LimestoneBayPoint,Haustrum haustorium,32
LimestoneBayPoint,Haustrum haustorium,24
LimestoneBayPoint,Haustrum haustorium,27
LimestoneBayPoint,Haustrum haustorium,34
LimestoneBayPoint,Haustrum haustorium,30
LimestoneBayPoint,Haustrum haustorium,32
LimestoneBayPoint,Haustrum haustorium,44
LimestoneBayPoint,Haustrum haustorium,35
LimestoneBayPoint,Haustrum haustorium,38
LimestoneBayPoint,Haustrum haustorium,33
LimestoneBayPoint,Haustrum haustorium,22
LimestoneBayPoint,Haustrum haustorium,31
LimestoneBayPoint,Haustrum haustorium,41
LimestoneBayPoint,Haustrum haustorium,44
LimestoneBayPoint,Haustrum haustorium,14
LimestoneBayPoint,Haustrum haustorium,40
LimestoneBayPoint,Haustrum haustorium,41
LimestoneBayPoint,Haustrum haustorium,28
LimestoneBayPoint,Haustrum haustorium,31
LimestoneBayPoint,Haustrum haustorium,46
LimestoneBayPoint,Haustrum haustorium,33
LimestoneBayPoint,Haustrum haustorium,33
LimestoneBayPoint,Haustrum haustorium,27
LimestoneBayPoint,Haustrum scobina,16
LimestoneBayPoint,Haustrum haustorium,28
LimestoneBayPoint,Haustrum haustorium,24
LimestoneBayPoint,Haustrum haustorium,25
LimestoneBayPoint,Haustrum haustorium,22
LimestoneBayPoint,Haustrum haustorium,28
LimestoneBayPoint,Haustrum haustorium,28
LimestoneBayPoint,Haustrum haustorium,28
LimestoneBayPoint,Haustrum haustorium,27
LimestoneBayPoint,Haustrum haustorium,30
LimestoneBayPoint,Haustrum haustorium,23
LimestoneBayPoint,Haustrum haustorium,30
LimestoneBayPoint,Haustrum haustorium,27
LimestoneBayPoint,Haustrum haustorium,31
LimestoneBayPoint,Haustrum haustorium,32
LimestoneBayPoint,Haustrum haustorium,23
LimestoneBayPoint,Haustrum haustorium,27
LimestoneBayPoint,Haustrum haustorium,30
LimestoneBayPoint,Haustrum haustorium,47
LimestoneBayPoint,Haustrum haustorium,12
LimestoneBayPoint,Haustrum haustorium,14
LimestoneBayPoint,Haustrum haustorium,21
LimestoneBayPoint,Haustrum haustorium,29
LimestoneBayPoint,Haustrum haustorium,33
LimestoneBayPoint,Haustrum haustorium,26
LimestoneBayPoint,Haustrum haustorium,25
LimestoneBayPoint,Haustrum haustorium,30
LimestoneBayPoint,Haustrum haustorium,27
LimestoneBayPoint,Haustrum haustorium,32
LimestoneBayPoint,Haustrum haustorium,19
LimestoneBayPoint,Haustrum haustorium,35
LimestoneBayPoint,Haustrum haustorium,15
LimestoneBayPoint,Haustrum haustorium,14
LimestoneBayPoint,Haustrum haustorium,24
LimestoneBayPoint,Haustrum haustorium,23
LimestoneBayPoint,Haustrum haustorium,47
LimestoneBayPoint,Haustrum haustorium,20
LimestoneBayPoint,Haustrum haustorium,12
LimestoneBayPoint,Haustrum haustorium,29
LimestoneBayPoint,Haustrum haustorium,30
LimestoneBayPoint,Haustrum haustorium,19
LimestoneBayPoint,Haustrum haustorium,24
LimestoneBayPoint,Haustrum haustorium,29
LimestoneBayPoint,Haustrum haustorium,31
LimestoneBayPoint,Haustrum haustorium,25
LimestoneBayPoint,Haustrum haustorium,37
LimestoneBayPoint,Haustrum haustorium,35
LimestoneBayPoint,Haustrum haustorium,41
LimestoneBayPoint,Haustrum haustorium,35
LimestoneBayPoint,Haustrum haustorium,28
LimestoneBayPoint,Haustrum haustorium,30
LimestoneBayPoint,Haustrum haustorium,23
LimestoneBayPoint,Haustrum haustorium,43
LimestoneBayPoint,Haustrum haustorium,30
LimestoneBayPoint,Haustrum haustorium,28
LimestoneBayPoint,Haustrum haustorium,22
LimestoneBayPoint,Haustrum haustorium,30
LimestoneBayPoint,Haustrum haustorium,32
LimestoneBayPoint,Haustrum haustorium,32
LimestoneBayPoint,Haustrum haustorium,18
LimestoneBayPoint,Haustrum haustorium,33
LimestoneBayPoint,Haustrum haustorium,35
LimestoneBayPoint,Haustrum haustorium,26
LimestoneBayPoint,Haustrum haustorium,34
LimestoneBayPoint,Haustrum haustorium,42
LimestoneBayPoint,Haustrum haustorium,43
LimestoneBayPoint,Haustrum haustorium,30
LimestoneBayPoint,Haustrum haustorium,33
LimestoneBayPoint,Haustrum haustorium,32
