CensusID,Site,TimeStart,TimeEnd,Expr1,SpeciesName
612,Rakautara,14:22,15:02,40,Haustrum haustorium
623,PaiaPoint,6:20,7:00,40,Haustrum haustorium
635,PaiaPoint,10:01,10:41,40,Haustrum haustorium
462,TaurangaHead,19:12,19:52,40,Haustrum scobina
785,CapeFoulwind,13:56,14:36,40,Paratrophon patens
785,CapeFoulwind,13:56,14:36,40,Buccinulum sp
785,CapeFoulwind,13:56,14:36,40,Haustrum haustorium
482,PaiaPoint,18:05,18:44,39,Haustrum scobina
708,TaurangaHead,17:59,18:38,39,Haustrum scobina
718,Rakautara,16:45,17:24,39,Haustrum scobina
477,Rakautara,14:37,15:16,39,Haustrum scobina
634,PaiaPoint,9:22,10:01,39,Haustrum haustorium
742,JacksonHead,16:00,16:39,39,Haustrum scobina
424,Rakautara,10:44,11:23,39,Haustrum scobina
724,JacksonHead,16:55,17:34,39,Haustrum haustorium
659,JacksonHead,18:24,19:03,39,Haustrum haustorium
701,CapeFoulwind,17:58,18:36,38,Cominella maculosa
435,Rakautara,11:54,12:32,38,Dicathais orbita
794,JacksonHead,14:15,14:53,38,Haustrum haustorium
538,JacksonHead,18:52,19:30,38,Haustrum scobina
784,CapeFoulwind,13:17,13:55,38,Haustrum haustorium
435,Rakautara,11:54,12:32,38,Haustrum haustorium
435,Rakautara,11:54,12:32,38,Haustrum lacunosus
701,CapeFoulwind,17:58,18:36,38,Haustrum haustorium
784,CapeFoulwind,13:17,13:55,38,Paratrophon patens
435,Rakautara,11:54,12:32,38,Buccinulum sp
701,CapeFoulwind,17:58,18:36,38,Buccinulum sp
701,CapeFoulwind,17:58,18:36,38,Paratrophon patens
568,JacksonHead,9:54,10:31,37,Buccinulum sp
703,CapeFoulwind,19:18,19:55,37,Paratrophon patens
766,JacksonHead,10:29,11:06,37,Haustrum lacunosus
550,JacksonHead,20:33,21:10,37,Haustrum haustorium
766,JacksonHead,10:29,11:06,37,Haustrum haustorium
550,JacksonHead,20:33,21:10,37,Buccinulum sp
818,PaiaPoint,15:57,16:34,37,Haustrum haustorium
568,JacksonHead,9:54,10:31,37,Haustrum haustorium
703,CapeFoulwind,19:18,19:55,37,Haustrum haustorium
818,PaiaPoint,15:57,16:34,37,Buccinulum sp
444,CapeFoulwind,20:28,21:05,37,Haustrum scobina
478,Rakautara,7:16,7:53,37,Haustrum scobina
610,Rakautara,12:58,13:35,37,Haustrum lacunosus
328,TaurangaHead,17:25,18:02,37,Haustrum scobina
610,Rakautara,12:58,13:35,37,Haustrum haustorium
503,Rakautara,10:26,11:03,37,Dicathais orbita
503,Rakautara,10:26,11:03,37,Haustrum haustorium
517,Rakautara,13:29,14:05,36,Haustrum haustorium
523,Rakautara,16:32,17:08,36,Haustrum haustorium
706,TaurangaHead,19:19,19:55,36,Paratrophon patens
706,TaurangaHead,19:19,19:55,36,Haustrum haustorium
555,OkahuPoint,20:10,20:46,36,Haustrum scobina
671,JacksonHead,22:39,23:15,36,Haustrum haustorium
671,JacksonHead,22:39,23:15,36,Buccinulum sp
517,Rakautara,13:29,14:05,36,Dicathais orbita
706,TaurangaHead,19:19,19:55,36,Cominella maculosa
371,CapeFoulwind,15:31,16:07,36,Haustrum scobina
804,JacksonHead,16:56,17:32,36,Haustrum haustorium
569,JacksonHead,10:39,11:14,35,Haustrum lacunosus
664,OkahuPoint,21:36,22:11,35,Haustrum scobina
366,CapeFoulwind,14:15,14:50,35,Haustrum scobina
569,JacksonHead,10:39,11:14,35,Haustrum haustorium
547,JacksonHead,18:19,18:54,35,Haustrum haustorium
488,PaiaPoint,7:47,8:22,35,Haustrum haustorium
740,JacksonHead,6:42,7:17,35,Haustrum haustorium
754,JacksonHead,20:41,21:16,35,Haustrum scobina
485,PaiaPoint,6:32,7:06,34,Haustrum scobina
700,CapeFoulwind,17:16,17:50,34,Haustrum scobina
549,JacksonHead,19:30,20:04,34,Buccinulum sp
822,Rakautara,16:34,17:08,34,Haustrum haustorium
763,JacksonHead,7:41,8:15,34,Haustrum haustorium
570,JacksonHead,11:15,11:49,34,Haustrum haustorium
549,JacksonHead,19:30,20:04,34,Haustrum haustorium
714,CapeFoulwind,8:31,9:05,34,Paratrophon patens
714,CapeFoulwind,8:31,9:05,34,Haustrum haustorium
684,Rakautara,10:43,11:17,34,Haustrum scobina
731,OkahuPoint,18:24,18:58,34,Haustrum lacunosus
731,OkahuPoint,18:24,18:58,34,Haustrum haustorium
810,Rakautara,12:27,13:01,34,Haustrum haustorium
810,Rakautara,12:27,13:01,34,Haustrum lacunosus
773,PaiaPoint,19:13,19:47,34,Haustrum haustorium
738,JacksonHead,19:15,19:49,34,Haustrum scobina
696,CapeFoulwind,15:49,16:22,33,Haustrum scobina
757,JacksonHead,7:33,8:06,33,Haustrum scobina
672,OkahuPoint,8:39,9:12,33,Buccinulum sp
652,JacksonHead,15:12,15:45,33,Haustrum scobina
688,Rakautara,22:29,23:02,33,Haustrum haustorium
535,OkahuPoint,14:35,15:08,33,Haustrum scobina
688,Rakautara,22:29,23:02,33,Haustrum lacunosus
672,OkahuPoint,8:39,9:12,33,Haustrum haustorium
590,TaurangaHead,15:53,16:26,33,Haustrum scobina
480,Rakautara,19:36,20:09,33,Haustrum haustorium
807,OkahuPoint,16:06,16:39,33,Haustrum haustorium
561,JacksonHead,19:43,20:16,33,Haustrum scobina
521,Rakautara,15:03,15:36,33,Haustrum haustorium
560,JacksonHead,19:05,19:38,33,Haustrum scobina
756,JacksonHead,6:57,7:30,33,Haustrum scobina
392,Rakautara,10:28,11:01,33,Haustrum scobina
506,Rakautara,10:48,11:21,33,Haustrum haustorium
627,Rakautara,8:10,8:43,33,Haustrum haustorium
389,Rakautara,9:22,9:55,33,Haustrum scobina
656,JacksonHead,18:23,18:56,33,Buccinulum sp
374,CapeFoulwind,19:08,19:41,33,Paratrophon patens
827,Rakautara,16:15,16:48,33,Haustrum scobina
374,CapeFoulwind,19:08,19:41,33,Haustrum haustorium
656,JacksonHead,18:23,18:56,33,Haustrum haustorium
593,TaurangaHead,18:08,18:40,32,Haustrum haustorium
378,Rakautara,14:28,15:00,32,Dicathais orbita
378,Rakautara,14:28,15:00,32,Haustrum haustorium
